COUNTRY,Item,Year,Value
Viet Nam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2018,6.2
Indonesia,Prevalence of undernourishment (percent) (3-year average),2019,6.2
Mauritania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,6.2
Russian Federation,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019,6.2
South Africa,Prevalence of undernourishment (percent) (3-year average),2019,6.2
Algeria,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,6.2
Czechia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2020,6.2
Dominican Republic,Prevalence of undernourishment (percent) (3-year average),2020,6.2
Fiji,Prevalence of undernourishment (percent) (3-year average),2020,6.2
Mongolia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.2
Suriname,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.2
Canada,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.2
Denmark,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.2
France,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.2
Paraguay,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.2
Suriname,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.2
Ghana,Prevalence of undernourishment (percent) (3-year average),2022,6.2
Lao People's Democratic Republic,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,6.2
Paraguay,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,6.2
Suriname,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.2
Sweden,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.2
Kazakhstan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.3
Kuwait,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.3
Sierra Leone,Percentage of children under 5 years affected by wasting (percent),2021,6.3
Uruguay,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,6.3
Belize,Prevalence of undernourishment (percent) (3-year average),2015,6.3
"China, Macao SAR",Prevalence of undernourishment (percent) (3-year average),2015,6.3
Côte d'Ivoire,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,6.3
Croatia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015,6.3
Egypt,Prevalence of undernourishment (percent) (3-year average),2015,6.3
United Kingdom of Great Britain and Northern Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2015,6.3
France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2016,6.3
Poland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2016,6.3
Republic of Korea,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016,6.3
Slovakia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2016,6.3
South Africa,Prevalence of undernourishment (percent) (3-year average),2016,6.3
Burkina Faso,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,6.3
France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017,6.3
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017,6.3
Fiji,Prevalence of undernourishment (percent) (3-year average),2018,6.3
Ghana,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,6.3
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2018,6.3
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2018,6.3
Mauritania,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,6.3
Mongolia,Prevalence of undernourishment (percent) (3-year average),2018,6.3
Oman,Prevalence of undernourishment (percent) (3-year average),2018,6.3
Senegal,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,6.3
Burkina Faso,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,6.3
Dominican Republic,Prevalence of undernourishment (percent) (3-year average),2019,6.3
Slovakia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2019,6.3
Brazil,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,6.3
Burkina Faso,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,6.3
France,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020,6.3
Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.3
Indonesia,Prevalence of undernourishment (percent) (3-year average),2020,6.3
Lao People's Democratic Republic,Prevalence of undernourishment (percent) (3-year average),2020,6.3
Malaysia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,6.3
North Macedonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,6.3
Fiji,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,6.3
Fiji,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.3
Greece,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2021,6.3
Lao People's Democratic Republic,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,6.3
Tajikistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.3
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,6.4
Viet Nam,Percentage of children under 5 years affected by wasting (percent),2015,6.4
Bulgaria,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.4
Democratic Republic of the Congo,Percentage of children under 5 years affected by wasting (percent),2017,6.4
Georgia,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.4
Tuvalu,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.4
Madagascar,Percentage of children under 5 years affected by wasting (percent),2018,6.4
Samoa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.4
Barbados,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.4
Mauritania,Percentage of children under 5 years affected by wasting (percent),2020,6.4
Uruguay,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,6.4
Guinea,Percentage of children under 5 years affected by wasting (percent),2022,6.4
Czechia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2015,6.4
Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2015,6.4
Kuwait,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,6.4
Slovakia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2015,6.4
Peru,Prevalence of undernourishment (percent) (3-year average),2016,6.4
Sri Lanka,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016,6.4
France,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018,6.4
French Polynesia,Prevalence of undernourishment (percent) (3-year average),2018,6.4
Spain,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018,6.4
France,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019,6.4
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2019,6.4
Tajikistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.4
Thailand,Prevalence of undernourishment (percent) (3-year average),2019,6.4
Cabo Verde,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,6.4
Cabo Verde,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.4
Cabo Verde,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,6.4
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020,6.4
Malta,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2020,6.4
Mongolia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2020,6.4
Republic of Korea,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020,6.4
Saint Kitts and Nevis,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,6.4
Thailand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.4
Burkina Faso,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,6.4
Fiji,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,6.4
Ireland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.4
Morocco,Prevalence of undernourishment (percent) (3-year average),2021,6.4
North Macedonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.4
Greece,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2022,6.4
Iran (Islamic Republic of),Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,6.4
Republic of Moldova,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,6.4
Brazil,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,6.5
China,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,6.5
Bulgaria,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.5
Barbados,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.5
Central African Republic,Percentage of children under 5 years affected by wasting (percent),2018,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.5
Türkiye,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.5
Dominican Republic,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.5
Guyana,Percentage of children under 5 years affected by wasting (percent),2019,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,6.5
Kuwait,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,6.5
Nigeria,Percentage of children under 5 years affected by wasting (percent),2020,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,6.5
Mongolia,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,6.5
Jamaica,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,6.5
Croatia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2015,6.5
Denmark,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2015,6.5
France,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015,6.5
Georgia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,6.5
South Africa,Prevalence of undernourishment (percent) (3-year average),2015,6.5
Sri Lanka,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015,6.5
Egypt,Prevalence of undernourishment (percent) (3-year average),2016,6.5
France,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016,6.5
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017,6.5
Poland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2017,6.5
Senegal,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,6.5
Sri Lanka,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017,6.5
Indonesia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2018,6.5
Lao People's Democratic Republic,Prevalence of undernourishment (percent) (3-year average),2018,6.5
Egypt,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.5
Lao People's Democratic Republic,Prevalence of undernourishment (percent) (3-year average),2019,6.5
Mauritius,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.5
Peru,Prevalence of undernourishment (percent) (3-year average),2019,6.5
Senegal,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.5
South Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.5
Viet Nam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2019,6.5
Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.5
Egypt,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.5
Iran (Islamic Republic of),Prevalence of undernourishment (percent) (3-year average),2020,6.5
Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.5
Iceland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2021,6.5
Iran (Islamic Republic of),Prevalence of undernourishment (percent) (3-year average),2021,6.5
Singapore,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2021,6.5
Thailand,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.5
Iran (Islamic Republic of),Prevalence of undernourishment (percent) (3-year average),2022,6.5
Japan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.5
Myanmar,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.5
Netherlands (Kingdom of the),Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2022,6.5
Norway,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.5
Poland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2022,6.5
Bulgaria,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,6.6
Brazil,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,6.6
Myanmar,Percentage of children under 5 years affected by wasting (percent),2016,6.6
Jordan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,6.6
Argentina,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,6.6
Austria,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2015,6.6
Georgia,Prevalence of undernourishment (percent) (3-year average),2015,6.6
Nepal,Prevalence of undernourishment (percent) (3-year average),2015,6.6
Spain,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2015,6.6
Denmark,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2016,6.6
Malta,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2016,6.6
Panama,Prevalence of undernourishment (percent) (3-year average),2016,6.6
Senegal,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,6.6
Spain,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2016,6.6
French Polynesia,Prevalence of undernourishment (percent) (3-year average),2017,6.6
Georgia,Prevalence of undernourishment (percent) (3-year average),2017,6.6
Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017,6.6
Malta,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2017,6.6
Peru,Prevalence of undernourishment (percent) (3-year average),2017,6.6
Senegal,Prevalence of undernourishment (percent) (3-year average),2018,6.6
Viet Nam,Prevalence of undernourishment (percent) (3-year average),2018,6.6
Burkina Faso,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.6
Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2019,6.6
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2019,6.6
Lao People's Democratic Republic,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.6
Malaysia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,6.6
Mauritania,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,6.6
Mongolia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019,6.6
New Caledonia,Prevalence of undernourishment (percent) (3-year average),2019,6.6
El Salvador,Prevalence of undernourishment (percent) (3-year average),2020,6.6
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.6
Tajikistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.6
Viet Nam,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020,6.6
France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2021,6.6
Grenada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,6.6
Grenada,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.6
Grenada,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,6.6
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.6
Republic of Korea,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.6
Singapore,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2021,6.6
Brazil,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,6.6
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.6
Malta,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.6
Paraguay,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,6.6
Kenya,Percentage of children under 5 years affected by wasting (percent),2016,6.7
Tuvalu,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,6.7
Barbados,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.7
Uruguay,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.7
Kuwait,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,6.7
Turkmenistan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,6.7
Croatia,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2015,6.7
Iran (Islamic Republic of),Prevalence of undernourishment (percent) (3-year average),2015,6.7
Mauritania,Prevalence of undernourishment (percent) (3-year average),2015,6.7
Dominican Republic,Prevalence of undernourishment (percent) (3-year average),2016,6.7
Ecuador,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,6.7
Georgia,Prevalence of undernourishment (percent) (3-year average),2016,6.7
Indonesia,Prevalence of undernourishment (percent) (3-year average),2016,6.7
Ireland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2016,6.7
Malaysia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,6.7
Denmark,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2017,6.7
Malaysia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,6.7
Republic of Korea,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017,6.7
Malaysia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,6.7
Republic of Korea,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018,6.7
Algeria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,6.7
Egypt,Prevalence of undernourishment (percent) (3-year average),2019,6.7
Egypt,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,6.7
Jamaica,Prevalence of undernourishment (percent) (3-year average),2019,6.7
Albania,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.7
Mauritania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,6.7
Peru,Prevalence of undernourishment (percent) (3-year average),2020,6.7
Lao People's Democratic Republic,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.7
Mauritius,Prevalence of undernourishment (percent) (3-year average),2021,6.7
Singapore,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.7
Slovakia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,6.7
Tajikistan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,6.7
Paraguay,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,6.8
Philippines,Percentage of children under 5 years affected by wasting (percent),2015,6.8
Barbados,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,6.8
Georgia,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,6.8
Brazil,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.8
Ghana,Percentage of children under 5 years affected by wasting (percent),2017,6.8
Sierra Leone,Percentage of children under 5 years affected by wasting (percent),2017,6.8
Türkiye,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,6.8
Dominican Republic,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.8
Kazakhstan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.8
Nigeria,Percentage of children under 5 years affected by wasting (percent),2018,6.8
Ethiopia,Percentage of children under 5 years affected by wasting (percent),2019,6.8
Samoa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,6.8
Jordan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,6.8
France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2015,6.8
Mauritius,Prevalence of undernourishment (percent) (3-year average),2015,6.8
Trinidad and Tobago,Prevalence of undernourishment (percent) (3-year average),2015,6.8
Trinidad and Tobago,Prevalence of undernourishment (percent) (3-year average),2016,6.8
Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017,6.8
Lao People's Democratic Republic,Prevalence of undernourishment (percent) (3-year average),2017,6.8
Viet Nam,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2017,6.8
Egypt,Prevalence of undernourishment (percent) (3-year average),2018,6.8
Mauritania,Prevalence of undernourishment (percent) (3-year average),2018,6.8
Mauritius,Prevalence of undernourishment (percent) (3-year average),2018,6.8
Mauritius,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,6.8
Senegal,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,6.8
Sri Lanka,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2018,6.8
Lebanon,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,6.8
Mongolia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2019,6.8
Antigua and Barbuda,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,6.8
Barbados,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.8
Burkina Faso,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,6.8
Greece,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020,6.8
Iceland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2020,6.8
Lao People's Democratic Republic,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,6.8
Slovakia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020,6.8
Antigua and Barbuda,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,6.8
Barbados,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.8
Denmark,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2021,6.8
Ghana,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.8
Greece,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2021,6.8
Indonesia,Prevalence of undernourishment (percent) (3-year average),2021,6.8
Antigua and Barbuda,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,6.8
Barbados,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.8
Belgium,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.8
Burkina Faso,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,6.8
Denmark,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.8
El Salvador,Prevalence of undernourishment (percent) (3-year average),2022,6.8
Malaysia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.8
Norway,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2022,6.8
Thailand,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,6.8
Tuvalu,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,6.9
Brazil,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.9
Uruguay,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,6.9
Mongolia,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,6.9
Kuwait,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,6.9
Uzbekistan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,6.9
Malta,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2015,6.9
Romania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,6.9
Senegal,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,6.9
Croatia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2016,6.9
Mauritania,Prevalence of undernourishment (percent) (3-year average),2016,6.9
Mauritius,Prevalence of undernourishment (percent) (3-year average),2016,6.9
Mauritius,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,6.9
Tajikistan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,6.9
Croatia,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2017,6.9
Egypt,Prevalence of undernourishment (percent) (3-year average),2017,6.9
Ghana,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,6.9
Ghana,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,6.9
Mauritania,Prevalence of undernourishment (percent) (3-year average),2017,6.9
Mongolia,Prevalence of undernourishment (percent) (3-year average),2017,6.9
Trinidad and Tobago,Prevalence of undernourishment (percent) (3-year average),2017,6.9
Egypt,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,6.9
El Salvador,Prevalence of undernourishment (percent) (3-year average),2018,6.9
Finland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018,6.9
Hungary,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2018,6.9
Russian Federation,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2018,6.9
South Africa,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,6.9
Algeria,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,6.9
El Salvador,Prevalence of undernourishment (percent) (3-year average),2019,6.9
Ghana,Prevalence of undernourishment (percent) (3-year average),2019,6.9
Ireland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2019,6.9
Egypt,Prevalence of undernourishment (percent) (3-year average),2020,6.9
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2020,6.9
South Africa,Prevalence of undernourishment (percent) (3-year average),2020,6.9
Algeria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,6.9
Fiji,Prevalence of undernourishment (percent) (3-year average),2021,6.9
Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2021,6.9
North Macedonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,6.9
Iran (Islamic Republic of),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,6.9
Morocco,Prevalence of undernourishment (percent) (3-year average),2022,6.9
Myanmar,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,6.9
Pakistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.9
Romania,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,6.9
Spain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2022,6.9
Barbados,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,7
Cuba,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2015,7
Dominican Republic,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,7
Cuba,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,7
Samoa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,7
Cuba,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,7
Turkmenistan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2021,7
Cuba,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2022,7
Nepal,Percentage of children under 5 years affected by wasting (percent),2022,7
Dominica,Prevalence of undernourishment (percent) (3-year average),2015,7
